timer,hart,actual data,actual data diff,,
310.2888859,513,-4249,-424.9,,
311.1436762,513,-2673,-267.3,,
311.9984666,513,-2862,-286.2,,
312.8532569,513,-3946,-394.6,,
313.7080472,516,-3735,-373.5,,
314.5628375,515,-4931,-493.1,,
315.4176278,516,-5606,-560.6,,
316.2724182,518,-5297,-529.7,,
317.1272085,519,-4312,-431.2,,
317.9819988,520,-3863,-386.3,,
318.8367891,521,-4283,-428.3,,
319.6915794,522,-4088,-408.8,,
320.5463698,523,-4432,-443.2,,
321.4011601,522,-4187,-418.7,,
322.2559504,520,-4232,-423.2,,
323.1107407,519,-4343,-434.3,,
323.965531,519,-3619,-361.9,,
324.8203214,518,-4816,-481.6,,
325.6751117,518,-5136,-513.6,,
326.529902,519,-4037,-403.7,,
327.3846923,517,-4542,-454.2,,
328.2394826,517,-4817,-481.7,,
329.094273,518,-4313,-431.3,,
329.9490633,518,-4680,-468,,
330.8038536,519,-5270,-527,,
331.6586439,519,-4448,-444.8,,
332.5134342,518,-3633,-363.3,,
333.3682245,517,-3899,-389.9,,
334.2230149,517,-3606,-360.6,,
335.0778052,516,-3410,-341,,
335.9325955,515,-4342,-434.2,,
336.7873858,517,-4579,-457.9,,
337.6421761,516,-4483,-448.3,,
338.4969665,517,-4868,-486.8,,
339.3517568,517,-4960,-496,,
340.2065471,517,-4471,-447.1,,
341.0613374,518,-4759,-475.9,,
341.9161277,518,-4571,-457.1,,
342.7709181,517,-1964,-196.4,,
343.6257084,518,-2269,-226.9,,
344.4804987,519,-3146,-314.6,,
345.335289,518,-2136,-213.6,,
346.1900793,518,-4292,-429.2,,
347.0448697,518,-5231,-523.1,,
347.89966,518,-5000,-500,,
348.7544503,516,-5146,-514.6,,
349.6092406,517,-4885,-488.5,,
350.4640309,516,-5269,-526.9,,
351.3188213,516,-4512,-451.2,,
352.1736116,515,-4351,-435.1,,
353.0284019,517,-3416,-341.6,,
353.8831922,518,-2671,-267.1,,
354.7379825,517,-3534,-353.4,,
355.5927729,518,-3331,-333.1,,
356.4475632,519,-4371,-437.1,,
357.3023535,519,-5506,-550.6,,
358.1571438,518,-4890,-489,,
359.0119341,518,-4342,-434.2,,
359.8667244,517,-4063,-406.3,,
360.7215148,519,-3731,-373.1,,
361.5763051,518,-3912,-391.2,,
362.4310954,518,-4684,-468.4,,
363.2858857,518,-4273,-427.3,,
364.140676,517,-4142,-414.2,,
364.9954664,516,-4829,-482.9,,
365.8502567,516,-4644,-464.4,,
366.705047,515,-4574,-457.4,,
367.5598373,515,-5291,-529.1,,
368.4146276,515,-5199,-519.9,,
369.269418,515,-4280,-428,,
370.1242083,517,-5077,-507.7,,
370.9789986,515,-6243,-624.3,,
371.8337889,517,-6636,-663.6,,
372.6885792,517,-7723,-772.3,,
373.5433696,518,-8143,-814.3,,
374.3981599,518,-7439,-743.9,,
375.2529502,518,-6490,-649,,
376.1077405,518,-5732,-573.2,,
376.9625308,518,-4492,-449.2,,
377.8173212,518,-3705,-370.5,,
378.6721115,517,-4292,-429.2,,
379.5269018,519,-4005,-400.5,,
380.3816921,518,-3542,-354.2,,
381.2364824,519,-4541,-454.1,,
382.0912728,518,-4530,-453,,
382.9460631,517,-4213,-421.3,,
383.8008534,518,-4870,-487,,
384.6556437,516,-3688,-368.8,,
385.510434,517,-2885,-288.5,,
386.3652243,516,-3233,-323.3,,
387.2200147,516,-3024,-302.4,,
388.074805,516,-3731,-373.1,,
388.9295953,515,-4435,-443.5,,
389.7843856,515,-4637,-463.7,,
390.6391759,515,-4207,-420.7,,
391.4939663,515,-4001,-400.1,,
392.3487566,514,-4194,-419.4,,
393.2035469,515,-3806,-380.6,,
394.0583372,515,-4187,-418.7,,
394.9131275,514,-3278,-327.8,,
395.7679179,514,-2210,-221,,
396.6227082,513,-3034,-303.4,,
397.4774985,514,-2468,-246.8,,
398.3322888,514,-2887,-288.7,,
399.1870791,514,-5018,-501.8,,
400.0418695,514,-5031,-503.1,,
400.8966598,513,-4259,-425.9,,
401.7514501,512,-4362,-436.2,,
402.6062404,512,-4268,-426.8,,
403.4610307,513,-3777,-377.7,,
404.3158211,512,-4386,-438.6,,
405.1706114,512,-4092,-409.2,,
406.0254017,513,-3091,-309.1,,
406.880192,513,-3758,-375.8,,
407.7349823,512,-3552,-355.2,,
408.5897727,512,-3887,-388.7,,
409.444563,514,-5039,-503.9,,
410.2993533,517,-5135,-513.5,,
411.1541436,517,-4840,-484,,
412.0089339,517,-3786,-378.6,,
412.8637242,518,-4344,-434.4,,
413.7185146,519,-4528,-452.8,,
414.5733049,519,-4144,-414.4,,
415.4280952,519,-5302,-530.2,,
416.2828855,518,-4476,-447.6,,
417.1376758,517,-4205,-420.5,,
417.9924662,514,-4581,-458.1,,
418.8472565,512,-4264,-426.4,,
419.7020468,509,-4799,-479.9,,
420.5568371,501,-4522,-452.2,,
421.4116274,491,-4745,-474.5,,
422.2664178,483,-4362,-436.2,,
423.1212081,480,-3863,-386.3,,
423.9759984,478,-4435,-443.5,,
424.8307887,480,-4357,-435.7,,
425.685579,486,-4761,-476.1,,
426.5403694,492,-3775,-377.5,,
427.3951597,499,-3282,-328.2,,
428.24995,505,-3534,-353.4,,
429.1047403,513,-2099,-209.9,,
429.9595306,520,-2982,-298.2,,
430.814321,526,-4011,-401.1,,
431.6691113,531,-3663,-366.3,,
432.5239016,537,-4126,-412.6,,
433.3786919,542,-3910,-391,,
434.2334822,546,-4103,-410.3,,
435.0882726,550,-3913,-391.3,,
435.9430629,553,-3791,-379.1,,
436.7978532,556,-3857,-385.7,,
437.6526435,560,-2516,-251.6,,
438.5074338,562,-2692,-269.2,,
439.3622241,562,-2851,-285.1,,
440.2170145,562,-2677,-267.7,,
441.0718048,558,-3967,-396.7,,
441.9265951,555,-4354,-435.4,,
442.7813854,551,-4354,-435.4,,
443.6361757,547,-3971,-397.1,,
444.4909661,541,-3822,-382.2,,
445.3457564,535,-3833,-383.3,,
446.2005467,531,-3218,-321.8,,
447.055337,528,-3928,-392.8,,
447.9101273,523,-3059,-305.9,,
448.7649177,520,-1777,-177.7,,
449.619708,518,-2983,-298.3,,
450.4744983,517,-3002,-300.2,,
451.3292886,516,-3283,-328.3,,
452.1840789,515,-4711,-471.1,,
453.0388693,515,-5013,-501.3,,
453.8936596,514,-3937,-393.7,,
454.7484499,511,-3283,-328.3,,
455.6032402,511,-3842,-384.2,,
456.4580305,512,-3357,-335.7,,
457.3128209,511,-3854,-385.4,,
458.1676112,510,-4218,-421.8,,
459.0224015,512,-3360,-336,,
459.8771918,512,-4015,-401.5,,
460.7319821,513,-3607,-360.7,,
461.5867725,513,-3573,-357.3,,
462.4415628,514,-4619,-461.9,,
463.2963531,515,-3796,-379.6,,
464.1511434,516,-3717,-371.7,,
465.0059337,515,-4184,-418.4,,
465.860724,517,-3946,-394.6,,
466.7155144,517,-3898,-389.8,,
467.5703047,517,-4780,-478,,
468.425095,517,-4890,-489,,
469.2798853,518,-3311,-331.1,,
470.1346756,519,-3926,-392.6,,
470.989466,518,-3831,-383.1,,
471.8442563,519,-2639,-263.9,,
472.6990466,523,-4134,-413.4,,
473.5538369,525,-4329,-432.9,,
474.4086272,526,-4366,-436.6,,
475.2634176,531,-4707,-470.7,,
476.1182079,538,-4382,-438.2,,
476.9729982,542,-5134,-513.4,,
477.8277885,546,-4480,-448,,
478.6825788,549,-4423,-442.3,,
479.5373692,550,-4390,-439,,
480.3921595,549,-2973,-297.3,,
481.2469498,547,-3470,-347,,
482.1017401,545,-3505,-350.5,,
482.9565304,543,-3421,-342.1,,
483.8113208,539,-4342,-434.2,,
484.6661111,535,-4594,-459.4,,
485.5209014,531,-4769,-476.9,,
486.3756917,530,-4425,-442.5,,
487.230482,527,-4705,-470.5,,
488.0852724,524,-4281,-428.1,,
488.9400627,523,-4087,-408.7,,
489.794853,522,-4009,-400.9,,
490.6496433,519,-2223,-222.3,,
491.5044336,517,-3507,-350.7,,
492.3592239,515,-3769,-376.9,,
493.2140143,516,-2963,-296.3,,
494.0688046,515,-5143,-514.3,,
