timer,hart
919,-3236
920,-2633
921,-2701
922,-2239
923,-1729
924,-1910
925,-1699
926,-2311
927,-3068
928,-2536
929,-2032
930,-2595
931,-1891
932,-1834
933,-2884
934,-1397
935,-1874
936,-2599
937,-1588
938,-2638
939,-2074
940,-2272
941,-2459
942,-2172
943,-4420
944,-3773
945,-5743
946,-5782
947,-3074
948,-5363
949,-2558
950,-994
951,-2123
952,-280
953,-285
954,-159
955,-1057
956,-1584
957,-2138
958,-2481
959,-1358
960,-2301
961,-1361
962,-714
963,-3007
964,-2499
965,-2067
966,-3009
967,-3004
968,-2318
969,-2341
970,-2960
971,-1510
972,-1790
973,-2478
974,-1576
975,-2733
976,-3018
977,-3160
978,-3425
979,-2836
980,-3454
981,-2915
982,-2302
983,-2044
984,-999
985,-1860
986,-2011
987,-1860
988,-3563
989,-3429
990,-3140
991,-2943
992,-2263
993,-3099
994,-3073
995,-2670
996,-3029
997,-3339
998,-2777
999,-2437
1000,-3630
1001,-2650
1002,-1858
1003,-2761
1004,-2843
1005,-2816
1006,-3325
1007,-3796
1008,-2595
1009,-2594
1010,-2691
1011,-1689
1012,-3055
1013,-3435
1014,-2521
1015,-2738
1016,-3153
1017,-2608
1018,-2421
1019,-2895
1020,-1147
1021,-159
1022,-705
1023,-15
1024,-754
1025,-2058
1026,-1843
1027,-1929
1028,-1413
1029,-964
1030,-1329
1031,-1090
1032,-426
1033,369
1034,414
1035,-95
1036,-68
1037,-1575
1038,-2820
1039,-1746
1040,-1865
1041,-1599
1042,-401
1043,-1234
1044,-1433
1045,-793
1046,-940
1047,-1281
1048,-1475
1049,-1335
1050,-2215
1051,-2126
1052,-812
1053,-1764
1054,-2131
1055,-1663
1056,-2473
1057,-2076
1058,-1081
1059,-1537
1060,-2048
1061,-1361
1062,-1500
1063,-2100
1064,-1400
1065,-1082
1066,-2209
1067,-3018
1068,-2977
1069,-2517
1070,-2016
1071,-1194
1072,-717
1073,-1148
1074,-1968
1075,-2673
1076,-2122
1077,-2450
1078,-2716
1079,-2043
1080,-2598
1081,-1658
1082,-228
1083,-584
1084,-768
1085,-665
1086,-2370
1087,-3523
1088,-2788
1089,-2119
1090,-1813
1091,-1981
1092,-1492
1093,-2564
1094,-2433
1095,-1523
1096,-2248
1097,-1293
1098,-2018
1099,-2090
1100,-2135
1101,-2865
1102,-1604
1103,-2828
1104,-2147
1105,-1855
1106,-2981
1107,-1288
1108,-1894
1109,-2468
1110,-2015
1111,-1861
1112,-1842
1113,-2212
1114,-957
1115,-1829
1116,-2927
1117,-2561
1118,-3207
1119,-2016
1120,-2220
1121,-1776
1122,-175
1123,-2330
1124,-2319
1125,-1918
1126,-2959
1127,-2327
1128,-2457
1129,-2175
1130,-2423
1131,-1945
1132,-1220
