x,hart
991,1977
992,1975
993,1975
994,1971
995,1969
996,1969
997,1972
998,1972
999,1972
1000,1975
1001,1973
1002,1973
1003,1974
1004,1988
1005,1988
1006,1976
1007,1978
1008,1978
1009,1985
1010,1965
1011,1965
1012,1972
1013,1972
1014,1964
1015,1962
1016,1962
1017,1964
1018,1961
1019,1961
1020,1959
1021,1968
1022,1968
1023,1957
1024,1962
1025,1962
1026,1973
1027,1986
1028,1986
1029,1977
1030,1973
1031,1973
1032,1993
1033,1993
1034,1988
1035,1995
1036,1995
1037,1996
1038,2009
1039,2009
1040,1993
1041,1986
1042,1986
1043,2004
1044,2016
1045,2016
1046,1989
1047,2012
1048,2012
1049,2012
1050,1994
1051,1994
1052,2005
1053,2005
1054,2019
1055,2003
1056,2003
1057,1996
1058,1991
1059,1991
1060,1993
1061,2010
1062,2010
1063,1999
1064,1996
1065,1996
1066,1997
1067,1988
1068,1988
1069,1997
1070,1997
1071,1995
1072,1995
1073,1995
1074,2001
1075,1997
1076,1997
1077,1987
1078,1998
1079,1998
1080,2003
1081,2002
1082,2002
1083,2004
1084,1991
1085,1991
1086,2006
1087,2002
1088,2002
1089,1999
1090,1999
1091,2001
1092,2001
1093,2001
1094,1993
1095,2006
1096,2006
1097,1999
1098,1998
1099,1998
1100,2000
1101,2003
1102,2003
1103,2000
1104,2016
1105,2016
1106,2007
1107,1998
1108,1998
1109,2014
1110,2014
1111,2010
1112,2003
1113,2003
1114,2020
1115,2004
1116,2004
1117,2007
1118,2016
1119,2016
1120,1998
1121,2009
1122,2009
1123,2011
1124,2000
1125,2000
1126,2002
1127,2001
1128,2001
1129,1998
1130,1998
1131,2005
1132,2008
1133,2008
1134,2002
1135,2010
1136,2010
1137,1998
1138,2017
1139,2017
1140,2023
1141,2032
1142,2032
1143,2037
1144,2041
1145,2041
1146,2046
1147,2055
1148,2055
1149,2063
1150,2063
1151,2048
1152,2057
1153,2057
1154,2048
1155,2052
1156,2052
1157,2047
1158,2033
1159,2033
1160,2040
1161,2032
1162,2032
1163,2005
1164,2006
1165,2006
1166,2007
1167,2007
1168,2008
1169,2012
1170,2012
1171,1995
1172,1982
1173,1982
1174,2000
1175,2012
1176,2012
1177,1995
1178,1992
1179,1992
1180,1991
1181,1996
1182,1996
1183,1992
1184,1988
1185,1988
1186,2009
1187,2009
1188,2019
1189,2010
1190,2010
1191,2037
1192,2086
1193,2086
1194,2130
1195,2171
1196,2171
1197,2207
1198,2264
1199,2264
1200,2360
1201,2450
1202,2450
1203,2511
1204,2511
1205,2534
1206,2486
1207,2486
1208,2379
1209,2248
1210,2248
1211,2105
1212,1991
1213,1991
1214,1904
1215,1852
1216,1852
1217,1837
1218,1825
1219,1825
1220,1829
1221,1845
1222,1845
1223,1851
1224,1851
1225,1855
1226,1873
1227,1873
1228,1874
1229,1882
1230,1882
1231,1891
1232,1904
1233,1904
1234,1917
1235,1930
1236,1930
1237,1928
1238,1934
1239,1934
1240,1935
1241,1928
1242,1928
1243,1943
1244,1943
1245,1949
1246,1954
1247,1954
1248,1964
1249,1965
1250,1965
1251,1960
1252,1967
1253,1967
1254,1980
1255,1970
1256,1970
1257,1971
1258,1964
1259,1964
1260,1978
1261,1988
1262,1988
1263,1989
1264,1989
1265,1985
1266,1991
1267,1991
1268,1987
1269,1999
1270,1999
1271,1990
1272,1990
1273,1990
1274,1998
1275,2001
1276,2001
1277,2003
1278,2009
1279,2009
1280,2009
1281,2013
1282,2013
1283,2022
1284,2022
1285,2003
1286,2014
1287,2014
1288,2025
1289,2031
1290,2031
1291,2022
1292,2040
1293,2040
1294,2026
1295,2036
1296,2036
1297,2060
1298,2043
1299,2043
1300,2068
1301,2063
1302,2063
1303,2060
1304,2060
1305,2071
1306,2074
1307,2074
1308,2077
1309,2085
1310,2085
1311,2079
1312,2091
1313,2091
1314,2103
1315,2102
1316,2102
1317,2115
1318,2112
1319,2112
1320,2111
1321,2111
1322,2124
1323,2136
1324,2136
1325,2119
1326,2132
